from_taxon,Bacteroides,Prevotella,Faecalibacterium,Roseburia,Blautia,Agathobacter,Subdoligranulum,Ruminococcus,Ruminococcus_gnavus_group,Ruminococcaceae_UCG-002,Ruminococcaceae_UCG-005,Ruminococcaceae_NK4A214_group,Lachnospira,Lachnospiraceae_NK4A136_group,Lachnospiraceae_UCG-001,Lachnospiraceae_UCG-004,Lachnoclostridium,Eubacterium_hallii_group,Eubacterium_eligens_group,Eubacterium_coprostanoligenes_group,Coprococcus,Anaerostipes,Dorea,Fusicatenibacter,Butyricicoccus,Christensenellaceae_R-7_group,Oscillibacter,Dialister,Veillonella,Megamonas,Phascolarctobacterium,Parabacteroides,Alistipes,Barnesiella,Odoribacter,Butyricimonas,Bilophila,Desulfovibrio,Sutterella,Parasutterella,Akkermansia,Bifidobacterium,Collinsella,Eggerthella,Enterococcus,Streptococcus,Lactobacillus,Enterobacter,Escherichia_Shigella,Klebsiella,Citrobacter,Clostridium_sensu_stricto_1,Clostridioides,Peptostreptococcus,Finegoldia,Paraprevotella,Romboutsia,Turicibacter,Holdemanella,Intestinibacter,Catenibacterium,Anaerotruncus,Parvimonas,Fusobacterium,Haemophilus,Campylobacter,Helicobacter,Methanobrevibacter,Anaerococcus,Porphyromonas,Alloprevotella,Granulicatella,Actinomyces,Bacillus,Staphylococcus,Corynebacterium,Pseudomonas,Acinetobacter,Enterocloster,Flavonifractor,Butyrivibrio,Clostridiales_vadinBB60_group,Family_XIII_AD3011_group,Monoglobus,Bacteroidetes_unclassified,Firmicutes_unclassified,Lachnospiraceae_unclassified,Ruminococcaceae_unclassified,Bacteroidales_unclassified,Proteobacteria_unclassified,Actinobacteria_unclassified,Verrucomicrobia_unclassified,Erysipelotrichaceae_UCG-003,Erysipelotrichaceae_UCG-006,Erysipelatoclostridium,Senegalimassilia,Slackia,Gordonibacter,Anaerobutyricum,Coprobacter,Murimonas,Anaerofustis,Pseudoflavonifractor,Oscillospira,Anaeroplasma,UCG-010,UCG-014,UCG-003,UCG-009,UCG-013,UCG-007,Rikenellaceae_RC9_gut_group,Candidatus_Saccharimonas,Mitsuokella,Succinivibrio,Succiniclasticum,Victivallis,Anaerovorax,Howardella,Butyricimonas_group
Ruminococcaceae_UCG-005,-0.01512935,0.00588859,-0.00401284,-0.00698633,-0.02781526,0.00000025,0.00000000,-0.00579187,-0.00002490,-0.00010074,-0.00742101,0.00000000,0.00000000,0.00000000,-0.00010405,0.00000000,-0.00041486,-0.00044469,0.00000000,0.00131633,0.00000000,-0.00326052,0.00067450,0.00000517,0.00000000,0.00000000,0.00037263,-0.01663780,-0.02100574,-0.00721392,-0.02211292,0.00000000,0.00449900,-0.00027233,-0.00008648,-0.00487695,-0.00536820,-0.00019923,-0.01094777,0.00056446,-0.00299541,0.00061073,-0.00557772,-0.00457624,0.00491854,0.00052195,-0.00317717,-0.00037700,0.00820704,0.00076506,-0.00091416,-0.00065571,0.00020822,-0.00112138,-0.00631173,-0.00698208,0.00000000,0.00000000,-0.00113056,-0.00120614,0.00000000,-0.00431496,0.00000000,0.00000000,0.00076347,0.00044596,-0.00005202,0.00000000,0.00945250,0.01279110,0.00047134,-0.00231762,-0.00005487,-0.00024661,0.02280798,-0.00001770,-0.00112536,0.02711662,-0.00161243,0.00397852,0.00000000,-0.00144544,0.00000000,0.00000000,0.00009633,-0.00005637,0.00000000,0.00000000,0.00002813,-0.00088865,-0.00186383,0.00072553,-0.00009369,0.00000000,0.00024866,0.00228333,0.00000000,0.00000013,0.00000000,0.00000000,0.00004043,0.00000000,0.00000000,0.00201453,0.00006456,0.00000000,-0.00030032,0.00012988,0.00000000,-0.00127677,0.00000000,-0.00066780,-0.00003330,-0.00057185,-0.00328961,0.00000000,0.00000000,0.00000000,0.00021029,-0.00396887
Ruminococcaceae_NK4A214_group,0.03985556,0.00000000,0.01366023,0.00197740,0.02978642,-0.00110972,0.01028660,0.00338540,0.00095436,0.00023113,0.00000000,-0.00372040,-0.00000705,0.00189634,0.00000000,-0.00017163,-0.00023350,-0.00003258,-0.00043832,0.00000000,0.00230835,0.00084460,0.00000000,0.00000000,0.00168967,0.00000000,-0.00025866,-0.00221784,-0.00010983,0.00008730,-0.00276184,-0.01159433,-0.01868543,-0.00000896,-0.00041903,0.00000000,0.00052883,-0.00058009,-0.00386601,-0.00002290,0.00312285,-0.00665301,-0.00512307,-0.00122523,-0.02452941,-0.03547523,-0.00790444,-0.00025613,-0.01875467,-0.00036941,0.00036532,0.00000000,0.00000000,0.00310708,0.00045424,0.00000000,0.00001746,0.00047343,0.00008100,0.00067743,0.00000462,-0.00007629,-0.00045114,-0.00021870,-0.00013405,-0.00000417,0.00519264,-0.00000329,0.00024501,0.00050806,-0.00161856,-0.00015261,-0.00009757,-0.00127808,-0.03753709,0.00026230,-0.11231876,-0.00366184,0.00000000,0.00000000,0.00032201,-0.00033792,0.00210713,0.00000000,-0.00017933,-0.00035002,0.00017032,0.00370360,0.00051053,0.00000000,0.00031767,-0.00000417,-0.00001907,0.00108526,0.00504063,-0.00006513,-0.00006262,0.00000000,0.00081435,0.00014061,-0.00046165,0.00053771,0.00169110,-0.00024197,0.00053290,0.00000000,-0.00045453,-0.00086160,0.00000000,0.00000000,0.00117664,0.00393019,0.00000000,0.00000000,0.00106218,0.00000000,0.00000000,0.00000757,-0.00198080,0.00000000
Lachnospira,-0.07508137,-0.00336277,0.03870050,0.00216433,0.02971004,-0.01494142,0.00663792,-0.01245184,-0.00000019,0.00461138,0.00000000,0.00000000,-0.00787261,-0.00044171,0.00119540,-0.00005197,0.01108797,0.01050660,0.00071011,0.00000000,0.00259271,0.00397742,0.00000000,0.00000000,0.00103641,-0.00249483,0.00049278,0.00156529,-0.00136587,0.00774875,0.00073933,-0.01603497,-0.00295809,-0.00008833,-0.00494346,0.00019175,-0.01556744,-0.00001041,-0.01025240,-0.00566853,0.00895537,0.00110375,0.00247112,-0.00015432,-0.00196632,0.01409545,-0.00772306,0.02014852,-0.02766482,-0.00415766,-0.03888573,0.00017999,0.00010428,-0.00004445,0.00027840,-0.00011505,0.00110888,0.00147071,0.00120836,-0.00124632,-0.00768501,0.00000417,-0.00014487,-0.00276685,-0.00443420,0.00110054,0.00202453,0.00501491,0.00448188,0.00508539,-0.00309830,-0.00185979,0.00048426,0.00001360,-0.02042312,-0.00286192,0.01539377,-0.00039760,-0.00009805,0.00000000,-0.00236951,0.00000000,0.00000000,0.00000000,0.00000000,-0.00057238,-0.00004644,0.00000000,-0.00046193,-0.00149851,0.00083561,0.00017288,0.00001908,0.00348154,0.00000000,0.00083224,-0.00052024,0.00014928,0.00000890,0.00036018,0.00030202,0.00138009,-0.00693190,-0.00006777,0.00658779,-0.00062168,0.00629641,0.00000000,0.00018129,0.00001159,0.00042793,-0.01207198,0.00087520,0.00012294,-0.00049121,0.00000000,-0.00018109,0.00002685,-0.00016905,0.00036320
Lachnospiraceae_NK4A136_group,-0.12285083,0.00210082,-0.00955726,0.00817488,-0.01808077,-0.01758764,0.00370237,0.01262321,-0.00186665,0.00049025,0.00000000,-0.00227279,0.00137347,-0.00186697,0.00001162,-0.00017373,-0.00120659,0.00514334,0.00071281,0.00000000,0.00195460,0.00246734,0.00000000,0.00000000,0.00045863,0.00451932,0.00094908,0.00271438,0.00024739,-0.00021984,0.00043600,-0.01523127,-0.02543624,0.00019020,-0.00143887,0.00001718,-0.00267458,-0.00011754,-0.00298330,0.00917247,-0.00078569,-0.01254579,0.00426257,-0.00085562,0.00916148,0.01914660,0.00477984,0.01665991,0.02154712,0.00088902,0.02796163,-0.00009070,-0.00022328,-0.00119721,0.00008131,-0.00029827,0.00103608,0.00034548,0.00161723,-0.00129656,0.00043379,0.00001447,-0.00044012,0.00227655,0.01737472,0.00149875,-0.00569306,0.01362511,-0.00048353,-0.00015205,-0.00069419,-0.00118462,-0.00201687,0.00054480,0.05943487,0.00908315,-0.01387027,-0.00286775,-0.00008494,0.00000000,0.00136962,0.00011585,-0.00028077,0.00000000,-0.00030927,0.00240562,0.00000000,-0.00019528,-0.00034763,-0.00046962,0.00035331,0.00726399,0.00000000,0.00194623,-0.00082308,0.00422343,0.00097829,-0.00009284,0.00550375,0.00127844,-0.00040772,-0.00183993,-0.00185669,-0.00001190,0.00037709,0.00207224,-0.00066520,-0.00017764,0.00000000,-0.00002481,0.00032274,-0.00198253,-0.00120496,0.00001507,0.00001528,0.00000000,-0.00016554,0.00000651,-0.00127666,0.00107193
Lachnospiraceae_UCG-001,-0.03796043,-0.01340314,0.03592475,0.02061207,0.02516503,-0.00229208,-0.00141951,0.01976846,0.00000000,-0.00050968,0.00000000,0.00000000,-0.00019481,-0.00047474,-0.00504750,-0.00006581,0.00493197,0.00901931,0.00098879,0.00000000,-0.00480047,-0.00127834,0.00000000,0.00000000,0.00119709,0.02310686,-0.01206334,0.00905353,-0.00569187,0.00401064,-0.00154261,0.00902018,-0.00869081,-0.00013579,-0.00142421,0.00020362,-0.01501887,-0.00014643,-0.01670932,0.00797332,0.00876374,0.00064372,0.00313027,-0.00034791,-0.01215719,-0.00346301,-0.00148374,-0.00321845,-0.03388186,-0.00461352,-0.04109204,-0.00066186,0.00000000,0.00203583,-0.00165768,0.00348519,-0.00033913,0.00138989,-0.00019814,-0.00023072,0.00678691,0.00002371,0.00012434,0.00076536,-0.02015700,0.00000088,-0.00378819,-0.00352441,-0.01613287,0.00174810,0.00306183,0.00279205,-0.00220826,-0.00273598,-0.03360629,-0.00247297,-0.00277022,0.00019987,-0.00016710,0.00000000,0.00309149,0.00000000,0.00000000,0.00000000,0.00000000,-0.00359675,-0.00008827,0.00000000,0.00018151,-0.00106619,0.00205568,-0.00116153,0.00004426,0.00532846,0.00000000,0.00800067,-0.00087136,0.00002304,0.00697782,0.00209065,0.00071085,-0.00104061,0.00135988,-0.00001471,0.00501207,-0.00057871,0.00032684,0.00000000,0.00042043,0.00000000,0.00012872,-0.00077020,-0.00427387,-0.00005116,-0.00034853,0.00000000,0.00015543,0.00049326,0.00171746,-0.00127525
Lachnospiraceae_UCG-004,-0.04266843,0.00000000,-0.00751389,-0.00380217,0.00298553,0.00494678,0.00242563,0.00096353,0.00205425,0.00000000,0.00000000,0.00167261,0.00000000,0.00042285,0.00000000,-0.00022960,-0.00001960,0.00021339,0.00001068,0.00000000,-0.00005033,0.00012006,0.00000000,0.00000000,0.00129670,0.00000000,0.00000000,-0.00070238,-0.00002146,0.00000000,0.00046550,-0.00069149,-0.00203351,0.00000000,0.00013933,0.00000000,-0.00035579,0.00032978,0.00016838,0.00000000,-0.00212214,0.00246657,-0.00015836,0.00003021,-0.00383937,0.00299063,-0.00011603,-0.00000416,0.00400904,0.00004224,0.00003471,0.00000000,0.00000000,0.00185517,0.00065020,0.00000000,0.00000000,0.00084058,-0.00015864,0.00079345,-0.00002146,0.00000807,-0.00006140,0.00000000,0.00000000,0.00000000,-0.00121748,0.00004861,0.00193560,-0.00065979,0.00038435,0.00000000,0.00000000,0.00001080,0.00470960,-0.00001799,0.00189516,0.00000782,0.00000000,0.00000000,0.00003870,0.00053167,0.00177332,0.00000000,-0.00045409,-0.00049230,0.00000000,0.00039852,0.00072761,0.00000000,-0.00061298,0.00000000,0.00000000,0.00047588,-0.00144406,0.00000000,0.00000000,0.00000000,0.00037548,0.00094197,-0.00043266,-0.00010412,-0.00205689,-0.00004061,0.00000000,0.00000000,0.00009992,-0.00018214,0.00000000,0.00000000,0.00039632,0.00008975,0.00000000,0.00000000,0.00034166,0.00000000,0.00000000,0.00000000,-0.00001403,0.00000000
Lachnoclostridium,-0.05174675,0.13478454,-0.05642871,0.01236800,-0.02600904,-0.01884870,-0.01274615,-0.04800267,0.00000000,-0.00358684,0.00031629,0.00000000,-0.00090784,-0.00189445,-0.00895403,-0.00006614,-0.01040068,-0.00234503,-0.00069530,0.00000000,-0.00132559,-0.00431436,0.00000000,0.00000000,0.00047197,0.00859732,-0.01417880,0.00295357,0.02314539,0.01547696,0.00486683,0.00110075,-0.01654948,-0.00022261,0.00424254,0.00149040,0.00463496,0.00028123,-0.01468190,0.00758917,-0.01482822,0.00072714,-0.00331389,0.00077156,0.01344214,-0.00542685,0.00596593,0.01659792,-0.01656422,-0.00371577,-0.01518774,0.00057529,-0.00022663,0.00688852,-0.00125643,-0.00026712,0.00028823,-0.00350613,-0.00074143,0.00492765,-0.00070604,0.00224413,0.00014163,-0.00083830,0.00773798,0.00027287,-0.00656912,0.00826154,-0.00409818,0.00390928,0.00125418,-0.00008094,-0.00126969,-0.00414427,0.07517214,-0.01057328,-0.01826003,0.00695756,0.00042948,0.00033135,0.00551985,0.00022592,0.00000000,0.00000000,0.00000000,-0.00975293,-0.00008665,0.00000000,0.00059646,0.00146263,-0.00081098,-0.00432300,0.00002512,0.00076013,0.00048196,0.00105058,-0.00067534,-0.00033366,-0.01381697,-0.00012079,0.00074534,-0.00755736,-0.00517976,0.00087228,0.00698560,-0.00046199,-0.01879624,0.00000000,0.00023862,0.00042498,-0.00042550,-0.00237279,-0.00840264,0.00084955,0.00145819,0.00000000,0.00017703,0.00142009,0.00146640,-0.00130100
Eubacterium_hallii_group,0.08620573,0.03210667,-0.00602679,-0.00041798,-0.00377015,-0.00037609,0.00012087,-0.02712106,0.00010145,0.00306316,-0.00012627,0.00033646,-0.00031151,0.00056154,0.00219079,-0.00009163,0.00208796,-0.01347779,0.00117294,-0.00022943,0.00220496,0.00621022,0.00169043,0.00001685,-0.00077333,-0.00383972,-0.00504409,0.00916046,0.02150585,0.02643862,0.00872423,0.00120285,0.01845637,0.00008234,0.00163245,0.00114672,0.00026224,0.00031637,-0.00296361,-0.00142096,-0.03227097,0.00560414,0.00715608,0.00081927,-0.00863148,-0.04847704,0.00605155,-0.02615474,-0.06246403,-0.00330055,-0.08345876,-0.00162099,0.00018925,0.00258292,0.00312831,-0.00385451,0.00203470,0.00124541,0.00001462,0.00204145,0.00471462,0.00545009,0.00007189,0.00052368,-0.00786772,-0.00254643,-0.00119026,-0.02148966,0.01285308,0.00503024,0.00216682,0.00736192,-0.00033318,-0.00238084,-0.11101836,-0.02821390,0.01623090,0.04743306,0.00189141,0.00116344,-0.00009844,0.00022134,0.00025713,0.00000000,0.00015703,-0.00365890,-0.00008896,0.00085497,-0.00023797,0.00168080,-0.00141089,0.00534597,0.00013109,0.00096408,-0.00076067,-0.00509787,-0.00098331,-0.00004743,0.00318658,0.00041990,0.00161197,0.00227949,0.00161532,0.00046815,-0.00129050,-0.00145640,0.00662768,0.00003948,-0.00059269,-0.00322926,0.00006344,-0.00540338,0.00164027,-0.00103798,0.01109329,0.00000000,-0.00003067,-0.00042829,0.00110897,0.00611929
Eubacterium_eligens_group,-0.25457657,0.00256163,0.05236218,0.01660306,0.04361559,0.02638831,0.02904998,0.05550550,-0.00078310,0.00094908,0.00000000,0.00102451,0.00408977,0.00065779,0.00072396,-0.00004399,0.00242567,0.00680526,-0.00105986,0.00000000,0.00192245,0.00883276,0.00000000,0.00000000,0.00065378,0.01533619,0.00618510,0.00513660,0.00154915,0.00050019,-0.00393212,-0.00450477,-0.03195812,-0.00003051,0.00021452,0.00003925,0.00389259,-0.00022041,0.00705336,0.01015982,0.01707826,-0.01335414,0.00485935,0.00024750,-0.00408968,0.00445159,-0.00569564,0.00557849,0.02235901,0.00073628,0.01511526,-0.00003533,0.00005685,0.00104295,0.00018577,0.00188100,-0.00066326,-0.00041565,0.00015156,0.00021048,0.00004641,0.00000000,0.00099286,-0.00013986,0.01884714,0.00157711,0.00076233,0.01805304,0.00774030,0.00130340,0.00059679,0.00048363,0.00005134,0.00309840,0.03415583,0.00687515,-0.03930232,-0.01560496,0.00001263,0.00000000,0.00326780,-0.00079286,-0.00008251,0.00000000,0.00000000,0.00107507,0.00000000,-0.00075243,0.00004934,0.00024037,-0.00066499,0.00282762,0.00007265,0.00133829,-0.00267677,0.00399968,0.00094378,0.00006668,0.00282688,-0.00004739,-0.00124528,-0.00080419,0.00095112,0.00000000,0.00100130,-0.00014915,0.00398584,-0.00000482,0.00069016,0.00000632,-0.00000663,-0.00297190,-0.00007162,0.00000000,-0.00032647,0.00000000,0.00002350,0.00076281,-0.00071147,0.00003974
Eubacterium_coprostanoligenes_group,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Coprococcus,-0.27015681,0.00487125,-0.00750975,0.01890135,0.05560022,0.01282878,0.01985179,0.05019984,-0.00602602,0.00145033,0.00000000,-0.00124556,0.00352655,0.00372072,0.00033340,-0.00032477,-0.00266946,0.00311405,0.00102034,0.00004960,-0.01040470,0.00457191,0.00000000,0.00000000,-0.00266736,0.01235724,0.00007393,0.00537324,-0.00274151,-0.00092371,-0.00307930,-0.01657384,-0.02050082,0.00002920,0.00075708,-0.00019708,-0.00906666,-0.00091908,0.00982537,0.01137104,0.00958281,-0.00950207,-0.00377703,-0.00151273,-0.00863575,-0.00193855,-0.00675305,-0.00009543,0.03125913,-0.00111037,0.02622373,0.00084097,0.00003055,-0.00456185,-0.00087130,0.00463529,0.00273167,-0.00024684,-0.00229207,0.00036784,0.00061595,0.00000794,0.00024074,0.00213924,0.00737598,0.00475923,-0.00624245,0.01595550,-0.01851501,0.00310843,0.00238574,0.00043108,-0.00187838,-0.00324352,0.03999609,0.01276209,-0.02156929,0.00153402,-0.00016149,0.00000000,0.00192301,-0.00119334,-0.00104588,0.00000000,-0.00083033,0.00651144,0.00033641,-0.00295730,0.00055596,-0.00069165,0.00049290,-0.00078133,-0.00000668,0.00124654,-0.00626529,0.00591216,0.00248571,-0.00018549,0.00569594,0.00006476,0.00034615,-0.00130538,0.00359055,-0.00001341,0.00217061,0.00155013,0.00217046,-0.00132003,-0.00006342,0.00000339,-0.00082007,0.01074580,0.00123709,-0.00002443,-0.00018354,0.00000000,0.00020955,0.00006336,-0.00137670,0.00200936
Anaerostipes,-0.14713241,0.06643567,0.04351956,0.02126407,0.05097690,0.00464762,0.03120761,0.04360952,-0.00483753,0.00406637,-0.00278675,-0.00242373,0.00050486,-0.00127465,-0.00131069,0.00000056,-0.00015541,0.00776207,0.00080762,0.00065640,0.00260879,-0.01011131,-0.00193194,0.00000000,-0.00082515,0.01687068,0.01289418,0.03119401,0.02639719,0.01331703,0.00606962,-0.00875336,-0.01386300,0.00054935,0.00007739,0.00343330,0.00980442,-0.00043301,0.00382562,0.01201361,0.02165302,-0.00559790,0.00012375,0.00214428,-0.01886036,-0.05499156,-0.01307765,-0.01266541,-0.10631163,-0.00539995,-0.04959008,-0.00025497,-0.00006042,0.00105380,-0.00675851,0.00975309,0.00028047,0.00153133,0.00158610,-0.00115095,0.00049473,-0.00538023,0.00001632,0.00273548,-0.03242448,0.00099633,0.00070171,0.00025739,0.00486394,-0.00242532,0.00317734,-0.00340066,-0.00006314,0.00083961,-0.08644136,-0.02131438,-0.02366739,0.05995393,-0.00141582,-0.00156321,0.00177029,-0.00092595,-0.00062108,0.00000000,-0.00071634,0.00048685,-0.00000735,-0.00103008,-0.00323993,0.00129209,0.00052761,-0.00035099,0.00098240,0.00420865,-0.00482333,0.00469147,-0.00072315,0.00001779,0.00530548,0.00017780,-0.00577820,0.00015583,0.00136212,-0.00244281,0.00176885,-0.00037729,0.00506041,0.00033289,0.00015316,-0.00561958,-0.00001652,0.00013592,0.00212625,0.00174722,0.00725949,0.00000000,0.00007721,-0.00182532,0.00243104,0.00024269
Dorea,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Fusicatenibacter,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Butyricicoccus,-0.14285944,0.00173282,0.07886331,0.02585943,-0.00540945,0.00756740,0.02522608,0.05294119,-0.01341731,0.00223981,0.00000000,-0.00811114,0.00071246,-0.00575433,0.00037315,-0.00075146,0.00515996,0.00958505,0.00004460,0.00000000,0.00018034,0.00220996,0.00000000,0.00000000,-0.00377006,0.01423935,0.00556521,0.00419999,0.00095914,0.00005981,-0.00032137,0.00117495,-0.06544838,-0.00000421,0.00116860,0.00000000,-0.00177570,0.00052572,0.00322337,0.00956798,0.01801601,-0.02052172,-0.00158804,-0.00167643,0.00006937,-0.00389320,-0.00265581,0.00353460,0.00515533,0.00140686,0.01128977,0.00018439,0.00000000,-0.00110773,-0.00015508,0.00086374,0.00201626,0.00044333,-0.00132481,-0.00028247,0.00002002,0.00000000,0.00208917,0.00127604,0.00678494,0.00049132,-0.00384702,0.01025738,0.00453473,0.00377788,0.00050248,-0.00009087,0.00057905,0.00109770,0.00457669,0.00393715,-0.06928581,-0.00456738,0.00000000,0.00000000,0.00186594,-0.00042470,-0.00094796,0.00000000,-0.00065654,0.00014303,-0.00047952,-0.00064302,-0.00017354,0.00011963,0.00175865,0.00517088,0.00000000,0.00263627,0.00142281,0.00412623,0.00009461,0.00006417,0.00665265,-0.00017370,0.00119755,0.00088933,-0.00215163,0.00003070,0.00336624,0.00087582,0.00462288,-0.00101272,0.00000000,0.00000000,-0.00042618,0.00508340,0.00294793,0.00000000,-0.00005443,0.00000000,0.00000000,-0.00001205,0.00005021,0.00075124
Christensenellaceae_R-7_group,0.02695703,0.00382647,0.02961503,0.00997960,0.01529766,0.00328942,0.02151083,0.01557343,-0.00001506,0.00500245,0.00000000,0.00000000,-0.00024583,0.00051808,0.00092802,-0.00000202,0.00328839,0.00203832,0.00055045,-0.00002909,0.00412428,0.00235666,0.00000000,0.00000000,0.00038943,-0.00275428,0.01112728,0.00477500,-0.00069520,-0.00085708,-0.00014800,-0.01216557,0.00145777,0.00016533,0.00027134,-0.00003710,0.00366364,0.00002645,0.00606658,0.00005438,0.00932518,0.00099786,0.00288679,0.00000153,-0.01136770,-0.02848995,-0.01016889,-0.00517925,-0.07302093,0.00119660,-0.02611331,0.00044643,0.00003694,0.00042034,0.00082224,-0.00006817,0.00066889,0.00015706,0.00140932,-0.00012060,-0.00118172,0.00000372,-0.00007317,0.00078336,-0.01702300,-0.00117792,0.00227379,-0.00097810,-0.01197531,-0.00053225,-0.00050858,-0.00022085,0.00012542,-0.00016132,-0.09421447,-0.01564319,-0.00039597,-0.00020379,0.00006214,0.00000000,-0.00114546,0.00000000,0.00000000,0.00000000,0.00000000,0.00158004,0.00000709,0.00000000,-0.00012347,0.00099128,-0.00115614,0.00156893,-0.00001003,0.00234590,0.00000000,0.00054316,-0.00177520,0.00003553,0.00530373,0.00037680,-0.00015518,0.00168987,0.00023919,0.00001921,-0.00195435,-0.00025933,0.00695182,0.00000000,-0.00009524,-0.00130562,0.00027308,0.00218806,0.00072892,0.00005793,0.00020622,0.00000000,-0.00009146,0.00065288,-0.00053270,0.00122020
